# Image list with two lines of data per image:
# IMAGE_ID, QW, QX, QY, QZ, TX, TY, TZ, CAMERA_ID, NAME
# POINTS2D[] as (X, Y, POINT3D_ID)
1 -0.17666285 0.09297331 -0.011012852 -0.9798086 -0.073196426 -0.043476053 -0.12072612 1 1.jpg

2 -0.17668207 0.09239353 -0.010688871 -0.9798635 -0.07319425 -0.04387074 -0.12028199 1 2.jpg

3 -0.17639965 0.09384955 -0.010333329 -0.97977984 -0.072732404 -0.043625154 -0.12075172 1 3.jpg

4 -0.17539433 0.09272846 -0.010959864 -0.9800603 -0.07273946 -0.04412835 -0.12101685 1 4.jpg

5 -0.17403847 0.09231055 -0.01275593 -0.9803196 -0.073111005 -0.043562476 -0.12192933 1 5.jpg

6 -0.17399204 0.09183276 -0.010656923 -0.9803978 -0.072516315 -0.044249702 -0.12166 1 6.jpg

7 -0.17213705 0.0900296 -0.012570947 -0.98086965 -0.072398506 -0.044281576 -0.122002095 1 7.jpg

8 -0.17159326 0.08803849 -0.007600546 -0.9811967 -0.06917778 -0.045633927 -0.1212759 1 8.jpg

9 -0.16936865 0.08076286 -0.006742865 -0.9822149 -0.06596785 -0.04621458 -0.118784525 1 9.jpg

10 -0.16959003 0.07034953 5.36412E-4 -0.9830004 -0.05860293 -0.047193725 -0.11388144 1 10.jpg

11 -0.16624516 0.050960433 0.00645265 -0.9847455 -0.04771154 -0.050264318 -0.11076379 1 11.jpg

12 -0.1625885 0.04541198 0.009489745 -0.9856026 -0.041762453 -0.053170867 -0.11141755 1 12.jpg

13 -0.16014534 0.035471555 0.014832765 -0.98634434 -0.033301737 -0.057101976 -0.1124821 1 13.jpg

14 -0.1580333 0.025779158 0.009102911 -0.9870552 -0.028231382 -0.058509376 -0.11221146 1 14.jpg

15 -0.16100532 0.015125468 0.011943489 -0.9867654 -0.0213831 -0.058589056 -0.107923195 1 15.jpg

16 -0.16358861 0.005379416 0.014917284 -0.9864012 -0.015605368 -0.058716003 -0.10466598 1 16.jpg

17 -0.16163433 7.1609765E-4 0.016290963 -0.986716 -0.011992462 -0.05955457 -0.104602195 1 17.jpg

18 -0.16115823 -0.0023864433 0.018908352 -0.9867445 -0.008753177 -0.05994292 -0.10529764 1 18.jpg

19 -0.16136335 -0.00794138 0.018619537 -0.9866874 -0.006297931 -0.05952066 -0.10625487 1 19.jpg

20 -0.16129604 -0.014834911 0.020795763 -0.9865754 -0.0025586635 -0.059908424 -0.10760278 1 20.jpg

21 -0.16058567 -0.022948883 0.022690177 -0.9864942 0.0012434348 -0.06061191 -0.1098149 1 21.jpg

22 -0.16076994 -0.032523952 0.024088115 -0.9861617 0.005269509 -0.060777534 -0.11250551 1 22.jpg

23 -0.16069593 -0.043517124 0.02659735 -0.98568535 0.010311831 -0.060819782 -0.11451107 1 23.jpg

24 -0.16028878 -0.05400802 0.028669566 -0.9851743 0.014888629 -0.061385706 -0.11713518 1 24.jpg

25 -0.15949355 -0.06546226 0.030772269 -0.9845453 0.019512009 -0.061542284 -0.119895205 1 25.jpg

26 -0.15972331 -0.07830118 0.031587064 -0.9835444 0.023826187 -0.060950987 -0.12259493 1 26.jpg

27 -0.160151 -0.087773904 0.03328243 -0.9826187 0.027214091 -0.061121136 -0.12515076 1 27.jpg

28 -0.1590595 -0.10094345 0.03549996 -0.9814532 0.032428168 -0.06133565 -0.12886538 1 28.jpg

29 -0.15874186 -0.11539509 0.038900822 -0.9797814 0.03836558 -0.061317403 -0.13206905 1 29.jpg

30 -0.15774445 -0.12886457 0.041855037 -0.9781404 0.044066988 -0.061695036 -0.13585976 1 30.jpg

31 -0.1559828 -0.14099143 0.045580536 -0.9765824 0.050512902 -0.06308726 -0.13986538 1 31.jpg

32 -0.15507452 -0.15277912 0.05000812 -0.9747357 0.057542503 -0.06405442 -0.1429227 1 32.jpg

33 -0.15302254 -0.16512807 0.052790314 -0.97289777 0.06367689 -0.065211944 -0.14681354 1 33.jpg

34 -0.1517619 -0.1741497 0.05601105 -0.9713408 0.068814084 -0.0661556 -0.14970188 1 34.jpg

35 -0.15242048 -0.18223692 0.055798233 -0.969765 0.07132151 -0.06587145 -0.15106016 1 35.jpg

36 -0.15538995 -0.18333225 0.0553416 -0.96911323 0.0711803 -0.06431816 -0.15040661 1 36.jpg

37 -0.16267814 -0.17603396 0.052509338 -0.96942806 0.06647323 -0.06008645 -0.14631785 1 37.jpg

38 -0.17163676 -0.16564947 0.04632485 -0.9700284 0.058050014 -0.0543504 -0.14072451 1 38.jpg

39 -0.18741031 -0.14665906 0.04388982 -0.9702794 0.052700784 -0.04599762 -0.13496587 1 39.jpg

40 -0.20366433 -0.13620457 0.03733 -0.968801 0.04992054 -0.035378776 -0.13024853 1 40.jpg

41 -0.21654926 -0.12662695 0.02981633 -0.9675655 0.04894059 -0.025474854 -0.12793545 1 41.jpg

42 -0.2236514 -0.11113922 0.02667144 -0.9679446 0.04783372 -0.016752448 -0.1280104 1 42.jpg

43 -0.23434508 -0.092369206 0.023678571 -0.96746564 0.04561478 -0.006841084 -0.12802579 1 43.jpg

44 -0.24680269 -0.07472453 0.018926203 -0.96599513 0.042005002 0.003550765 -0.12918153 1 44.jpg

45 -0.2519573 -0.056506418 0.015540421 -0.96596223 0.038244415 0.009703964 -0.13016067 1 45.jpg

46 -0.2564075 -0.035153978 0.012612373 -0.9658469 0.032806635 0.016161323 -0.13094258 1 46.jpg

47 -0.25967485 -0.008777991 0.0069057047 -0.9656315 0.024329664 0.022143558 -0.12903814 1 47.jpg

